clip	duration[ms]
common_voice_ru_42528765.mp3	6120
common_voice_ru_42684989.mp3	10980
common_voice_ru_42520834.mp3	5580
common_voice_ru_42647378.mp3	7776
common_voice_ru_42032549.mp3	5940
common_voice_ru_42210131.mp3	6120
common_voice_ru_42640785.mp3	7668
common_voice_ru_41981268.mp3	8136
common_voice_ru_41982142.mp3	3492
common_voice_ru_42550276.mp3	4248
common_voice_ru_42003523.mp3	7668
common_voice_ru_42631579.mp3	4968
common_voice_ru_42000614.mp3	5868
common_voice_ru_41976991.mp3	3276
common_voice_ru_42197654.mp3	3708
common_voice_ru_42000448.mp3	7776
common_voice_ru_42197569.mp3	5616
common_voice_ru_42558882.mp3	4140
common_voice_ru_42520878.mp3	8028
common_voice_ru_42000539.mp3	7092
common_voice_ru_42506910.mp3	7596
common_voice_ru_41982104.mp3	6804
common_voice_ru_42550353.mp3	8280
common_voice_ru_41982805.mp3	6552
common_voice_ru_42032026.mp3	3708
common_voice_ru_41986382.mp3	6264
common_voice_ru_42555796.mp3	8100
common_voice_ru_42550188.mp3	5508
common_voice_ru_42550299.mp3	4968
common_voice_ru_42550256.mp3	3816
common_voice_ru_42628389.mp3	4716
common_voice_ru_42544230.mp3	2196
common_voice_ru_41973332.mp3	3816
common_voice_ru_42550231.mp3	6048
common_voice_ru_41982155.mp3	2808
common_voice_ru_41941869.mp3	5292
common_voice_ru_42327718.mp3	4068
common_voice_ru_42480855.mp3	6696
common_voice_ru_42002881.mp3	5940
common_voice_ru_42558717.mp3	6480
common_voice_ru_42479339.mp3	2880
common_voice_ru_42429102.mp3	5076
common_voice_ru_42032061.mp3	2556
common_voice_ru_41977148.mp3	4932
common_voice_ru_42550227.mp3	2736
common_voice_ru_42032028.mp3	7020
common_voice_ru_42479361.mp3	4248
common_voice_ru_42494896.mp3	3132
common_voice_ru_42494889.mp3	6084
common_voice_ru_42032097.mp3	3024
common_voice_ru_41977179.mp3	4428
common_voice_ru_42647363.mp3	1836
common_voice_ru_41977108.mp3	3312
common_voice_ru_42467586.mp3	3528
common_voice_ru_41970656.mp3	4536
common_voice_ru_41973176.mp3	5328
common_voice_ru_41976896.mp3	2700
common_voice_ru_41915148.mp3	8172
common_voice_ru_42550342.mp3	5508
common_voice_ru_42479387.mp3	2088
common_voice_ru_42550304.mp3	4716
common_voice_ru_41996975.mp3	5868
common_voice_ru_42528800.mp3	6696
common_voice_ru_42003511.mp3	4356
common_voice_ru_42005543.mp3	3996
common_voice_ru_42647379.mp3	6516
common_voice_ru_41976909.mp3	4464
common_voice_ru_41981201.mp3	4320
common_voice_ru_41986410.mp3	4320
common_voice_ru_42210110.mp3	6156
common_voice_ru_42628198.mp3	2736
common_voice_ru_42558714.mp3	6336
common_voice_ru_42431361.mp3	7308
common_voice_ru_41982099.mp3	3600
common_voice_ru_42520853.mp3	4968
common_voice_ru_42550173.mp3	10080
common_voice_ru_42556141.mp3	3996
common_voice_ru_42558845.mp3	2628
common_voice_ru_41910934.mp3	3564
common_voice_ru_42550328.mp3	5328
common_voice_ru_41915180.mp3	6012
common_voice_ru_42619062.mp3	3420
common_voice_ru_41973169.mp3	5868
common_voice_ru_42032090.mp3	3312
common_voice_ru_42461951.mp3	2088
common_voice_ru_42327422.mp3	5436
common_voice_ru_42003520.mp3	8676
common_voice_ru_41970118.mp3	7488
