sentence_id	sentence	locale	reason
35d4ee7463bb97c29a5b6e2fc959245854f9ce111de6a73b51b0e21a48662f9e	Эвалюцыя эспэранта адбываецца ў многіх галінах мовы	ru	different-language
d84e09a87451112d9ae13c72e6abc5e847e9bc898b074b05df911609a1113cf4	Этот проект резолюции призван значительно укрепить глобальный режима ядерного разоружения и ядерного нераспространения.	ru	grammar-or-spelling
27b9d5e51c4d2e624e65d1a4ebc2a83bd32a96e04f5a9fa394a226755cef58e8	Ёбаный же ты нахуй!	ru	offensive-language
27b9d5e51c4d2e624e65d1a4ebc2a83bd32a96e04f5a9fa394a226755cef58e8	Ёбаный же ты нахуй!	ru	offensive-language
c266bf8da883d5bb85dbeb5a8e5c7524a61968a8925cb46a016407948bfbb1fb	У эспэранта два лікі: адзіночны і множны.	ru	sc-different-language
c27fac79f17f539d1508b330060e16b81fa0f448b0d2aaee821b20e3505c8d8a	Оптечка - то, что должно быть в каждом авто!	ru	grammar-or-spelling
c2936d1dbeff38ccccc2332ed80f6cac9a66a2dc836cdb91521818d3320d1263	Ёсьць невялікая колькасьць асноваў запазычаных з славянскіх моваў 	ru	sc-different-language
c2936d1dbeff38ccccc2332ed80f6cac9a66a2dc836cdb91521818d3320d1263	Ёсьць невялікая колькасьць асноваў запазычаных з славянскіх моваў 	ru	grammar-or-spelling
58c2250a6d8fbc52f27b70c895211ddbda8370858c4afd10f1359ac314e4fb86	и поступках много общего с собой.	ru	grammar-or-spelling
d7ef9b39fb3ef55a4a95b5743e32a793d76abc897739a2f1e91bcecc9ac5cccc	Возьмем условия, похожие на реальное поведения в типовых системах	ru	grammar-or-spelling
db00f39a4020997200b3483719494df49c2fa3a86b41687e2bd1594884d2a2c9	Вьетнам по-прежнему твердо привержен эти усилиям.	ru	grammar-or-spelling
db9a38d8713185d631ecdee450af9f3d5510bbb7a9ddbd2775fd6d8d78f99c01	Мы также намереваемся внимательно изучить вопрос об уровнях содержании натрия в наших продуктах питания.	ru	grammar-or-spelling
dce3d718c79d3dd94bd12275a44ccf12ff359d04488714255c8663371714ae84	Господин Председатель, расписание мероприятий, который вы нам предлагаете, носит вполне уместный характер.	ru	grammar-or-spelling
dd45d9952176b7c5e2fedaa1cc05e9b22bf48ad0f45248517f4f2139e9690907	О детях я точно знаю, что их не надо вовсе пеленать, их надо уничтожать.	ru	offensive-language
dcf5548a1a44753c7fd04f59ed72a59f987d8da3e24bbcf4b086b3a4957dcba0	Для этого я бы устроил в городе центральную яму и бросал бы туда детей.	ru	offensive-language
df2d341109b5c5b2b71c9fd6ef87d312eeebede93e83e2c6990f383c81c0d6bd	Ей нужна было успокоиться и выйти из этого мучительного положения.	ru	grammar-or-spelling
e0282dd72ef60595029863cdc6d1e00fac0f2373accd5392636dcea5ca85ae2c	Слава, Слава героям!!!	ru	offensive-language
35d4ee7463bb97c29a5b6e2fc959245854f9ce111de6a73b51b0e21a48662f9e	Эвалюцыя эспэранта адбываецца ў многіх галінах мовы	ru	different-language
27b9d5e51c4d2e624e65d1a4ebc2a83bd32a96e04f5a9fa394a226755cef58e8	Ёбаный же ты нахуй!	ru	offensive-language
de3bfc1d41c6ae585eb29776786f0c686e5c57592c588b0c5a62f3b211e98b34	Будем надеяться, что следующий доклад Совет не будет выдержан в духе этой местной практики.	ru	grammar-or-spelling
